name,whoregion,cumulativetotal,deaths
United States of America,Americas,35657845,556
India,South-East Asia,31998158,373
Brazil,Americas,20165672,399
Russian Federation,Europe,6491288,792
France,Europe,6161607,55
The United Kingdom,Europe,6094247,37
Turkey,Europe,5942271,117
Argentina,Americas,5018895,157
Colombia,Americas,4838984,181
Spain,Europe,4627770,8
Italy,Europe,4400617,22
Iran (Islamic Republic of),Eastern Mediterranean,4199537,588
Germany,Europe,3794429,19
Indonesia,South-East Asia,3718821,2048
Mexico,Americas,2971817,172
Poland,Europe,2884361,0
South Africa,Africa,2540222,199
Ukraine,Europe,2260232,24
Peru,Americas,2125345,77
Netherlands,Europe,1887831,2
Iraq,Eastern Mediterranean,1722328,67
Czechia,Europe,1675179,1
Philippines,Western Pacific,1667714,6
Chile,Americas,1624316,91
Canada,Americas,1438743,6
Bangladesh,South-East Asia,1376322,264
Malaysia,Western Pacific,1279776,212
Belgium,Europe,1141379,0
Sweden,Europe,1104538,0
Romania,Europe,1085412,4
Pakistan,Eastern Mediterranean,1071620,53
Japan,Western Pacific,1043625,17
Portugal,Europe,988061,18
Israel,Europe,908322,0
Hungary,Europe,810046,0
Thailand,South-East Asia,795951,235
Jordan,Eastern Mediterranean,778093,8
Serbia,Europe,726454,4
Switzerland,Europe,723907,0
Nepal,South-East Asia,720680,35
Kazakhstan,Europe,712597,0
Morocco,Eastern Mediterranean,701325,69
United Arab Emirates,Eastern Mediterranean,694285,3
Austria,Europe,659091,1
Tunisia,Eastern Mediterranean,613628,0
Lebanon,Eastern Mediterranean,572401,5
Saudi Arabia,Eastern Mediterranean,534312,11
Greece,Europe,516785,22
Ecuador,Americas,491831,0
Bolivia (Plurinational State of),Americas,478063,12
Cuba,Americas,466169,77
Georgia,Europe,455846,54
Paraguay,Americas,455120,25
Belarus,Europe,454674,9
Panama,Americas,442295,12
Bulgaria,Europe,428823,23
Costa Rica,Americas,419574,8
Kuwait,Eastern Mediterranean,403868,3
Slovakia,Europe,393160,2
Guatemala,Americas,391118,37
Uruguay,Americas,382506,0
Croatia,Europe,365335,2
Azerbaijan,Europe,352926,9
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,347054,2
Dominican Republic,Americas,344625,0
Myanmar,South-East Asia,337561,220
Sri Lanka,South-East Asia,332947,0
Denmark,Europe,324721,0
Ireland,Europe,313876,0
Venezuela (Bolivarian Republic of),Americas,312931,11
Honduras,Americas,305936,0
Oman,Eastern Mediterranean,298942,12
Lithuania,Europe,286943,3
Egypt,Eastern Mediterranean,284789,7
Ethiopia,Africa,284531,4
Bahrain,Eastern Mediterranean,270161,0
Libya,Eastern Mediterranean,269847,31
Republic of Moldova,Europe,260807,4
Slovenia,Europe,260156,0
Armenia,Europe,232610,5
Qatar,Eastern Mediterranean,227899,0
Viet Nam,Western Pacific,224894,360
Republic of Korea,Western Pacific,213987,9
Kenya,Africa,212573,30
Bosnia and Herzegovina,Europe,206317,3
Zambia,Africa,200201,7
Algeria,Africa,182368,28
Nigeria,Africa,178508,5
Mongolia,Western Pacific,175560,3
Kyrgyzstan,Europe,169971,6
North Macedonia,Europe,158164,2
Puerto Rico,Americas,152532,2
Afghanistan,Eastern Mediterranean,151013,25
Norway,Europe,140830,0
Latvia,Europe,139462,0
Uzbekistan,Europe,138382,7
Estonia,Europe,135512,0
Albania,Europe,133981,1
Mozambique,Africa,133177,15
Botswana,Africa,130771,128
China,Western Pacific,121837,4
Namibia,Africa,121203,5
Zimbabwe,Africa,116853,19
Finland,Europe,113437,0
Kosovo[1],Europe,110151,0
Ghana,Africa,108226,0
Cyprus,Europe,106428,3
Montenegro,Europe,103932,1
Uganda,Africa,95875,0
El Salvador,Americas,88371,13
Cambodia,Western Pacific,82399,23
Cameroon,Africa,82064,0
Maldives,South-East Asia,78464,0
Rwanda,Africa,76645,8
Luxembourg,Europe,74395,1
Senegal,Africa,68012,13
Singapore,Western Pacific,65836,0
Malawi,Africa,56135,22
Jamaica,Americas,55140,9
Democratic Republic of the Congo,Africa,51985,0
Côte d’Ivoire,Africa,51399,0
Angola,Africa,43747,4
Madagascar,Africa,42781,0
Réunion,Africa,40245,0
Trinidad and Tobago,Americas,40233,8
Fiji,Western Pacific,37582,18
Sudan,Eastern Mediterranean,37528,0
Australia,Western Pacific,36630,4
Malta,Europe,34953,0
Cabo Verde,Africa,34078,0
Eswatini,Africa,31738,13
French Guiana,Americas,31099,2
Mauritania,Africa,28197,0
Martinique,Americas,27310,11
Guinea,Africa,27112,3
Guadeloupe,Americas,26771,0
Syrian Arab Republic,Eastern Mediterranean,26116,2
Suriname,Americas,26002,3
Gabon,Africa,25487,0
French Polynesia,Western Pacific,23902,9
Guyana,Americas,22982,3
Haiti,Americas,20389,0
Mayotte,Africa,19546,0
Seychelles,Africa,18668,0
Papua New Guinea,Western Pacific,17806,0
Togo,Africa,16946,2
Tajikistan,Europe,16120,0
Somalia,Eastern Mediterranean,15939,8
Bahamas,Americas,15794,3
Andorra,Europe,14836,0
Mali,Africa,14648,0
Belize,Americas,14438,0
Curaçao,Americas,14122,2
Lesotho,Africa,13843,13
Burkina Faso,Africa,13626,0
Congo,Africa,13293,0
Aruba,Americas,12455,0
Timor-Leste,South-East Asia,11717,1
Djibouti,Eastern Mediterranean,11663,0
Central African Republic,Africa,11174,0
South Sudan,Africa,11139,0
Benin,Africa,9065,3
Equatorial Guinea,Africa,8951,0
Iceland,Europe,8900,0
Burundi,Africa,8800,0
Gambia,Africa,8763,0
Jersey,Europe,8599,0
Lao People's Democratic Republic,Western Pacific,8561,0
Guam,Western Pacific,8439,0
Nicaragua,Americas,7890,0
Yemen,Eastern Mediterranean,7161,3
Eritrea,Africa,6589,0
Sierra Leone,Africa,6315,0
Saint Lucia,Americas,5837,0
Niger,Africa,5682,0
Isle of Man,Europe,5502,0
Liberia,Africa,5461,0
Mauritius,Africa,5219,0
San Marino,Europe,5207,0
Gibraltar,Europe,5127,0
United States Virgin Islands,Americas,5033,0
Chad,Africa,4980,0
Guinea-Bissau,Africa,4788,0
Barbados,Americas,4471,0
Comoros,Africa,4031,0
Liechtenstein,Europe,3206,0
Monaco,Europe,2986,0
Sint Maarten,Americas,2950,0
Saint Martin,Americas,2872,0
Bermuda,Americas,2614,0
Bhutan,South-East Asia,2550,0
New Zealand,Western Pacific,2546,0
Turks and Caicos Islands,Americas,2523,0
British Virgin Islands,Americas,2500,0
Sao Tome and Principe,Africa,2475,0
Saint Vincent and the Grenadines,Americas,2299,0
Bonaire,Americas,1698,0
Saint Barthélemy,Americas,1453,0
United Republic of Tanzania,Africa,1367,29
Antigua and Barbuda,Americas,1348,0
Guernsey,Europe,1007,0
Faroe Islands,Europe,987,0
Other,Other,764,0
Cayman Islands,Americas,646,0
Saint Kitts and Nevis,Americas,614,0
Wallis and Futuna,Western Pacific,454,0
Brunei Darussalam,Western Pacific,406,0
Dominica,Americas,388,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,210,0
Greenland,Europe,182,0
Grenada,Americas,178,0
New Caledonia,Western Pacific,134,0
Anguilla,Americas,114,0
Falkland Islands (Malvinas),Americas,64,0
Saint Pierre and Miquelon,Americas,30,0
Holy See,Europe,26,0
Montserrat,Americas,22,0
Sint Eustatius,Americas,22,0
Solomon Islands,Western Pacific,20,0
Saba,Americas,8,0
Marshall Islands,Western Pacific,4,0
Vanuatu,Western Pacific,3,0
Samoa,Western Pacific,1,0
American Samoa,Western Pacific,0,0
Cook Islands,Western Pacific,0,0
Democratic People's Republic of Korea,South-East Asia,0,0
Kiribati,Western Pacific,0,0
Micronesia (Federated States of),Western Pacific,0,0
Nauru,Western Pacific,0,0
Niue,Western Pacific,0,0
Palau,Western Pacific,0,0
Pitcairn Islands,Western Pacific,0,0
Saint Helena,Africa,0,0
Tokelau,Western Pacific,0,0
Tonga,Western Pacific,0,0
Turkmenistan,Europe,0,0
Tuvalu,Western Pacific,0,0
